,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
16,2,Nicht genug Infos,Wittenhof,SIM,Vestas,V126,10206151,SIM Wittenhof ENER (194152),ULFKOC,2020-03-23,ENERTRAG SE,Jonas Armbröster,WEA 1 von 1,,,,,Unbekannt,Unbekannt,Ja,,,6.0,16.0,W,,,,"I_Messungen notwendig wegen hoher Vorbelastung, Telefonat mit T22 geführt",,,,Approved,file:///A:\___Projekte\10206151_2020 V126 SIM Wittenhof ENERTRAG Jonas Armröster (Jonas Armbröster) ,53.340331,13.898623,194152.0
17,3,,_Marsberg_Ersatzstandort für Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380274,,,,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,,51.519506,8.824914,200062.0
18,4,,_Suederhackstedt_Ersatzstandort fuer Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380456,WEA 1,111.0,138.0,,,,,,6.0,16.0,W,,,,,2022-01-20,2022-05-13,2022-06-23,Approved,,54.58004,9.27255,200062.0
19,,,Hermannsort,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380722,WEA 6,81.0,138.0,Ja,Ja,Unbekannt,,,7.0,17.0,W,,,,,2022-02-22,2022-02-25,,Approved,,54.532846,9.44244,200062.0
20,,,Hermannsort,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380725,WEA 4,110.8,138.0,Ja,Ja,Unbekannt,,,7.0,17.0,W,,,,,2022-07-16,,,Approved,,54.535142,9.44605,200062.0
21,,Diese Info ist Korrekt,Janneby,SET,Enercon,E138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,WEA 1 von 2,1380324,WEA 02b,110.8,138.25,Ja,Ja,Unbekannt,,,4.0,14.0,W,,,,,,2020-06-30,,Approved,file:///A:\___Projekte\10212487_2020 E138 EP3 E2 SET Janneby Enercon GmbH (Fabian Martens) ,54.647196,9.314711,200062.0
22,,,Janneby,SET,Enercon,E-115,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,WEA 2 von 2,1160001,WEA 02c,132.77,115.71,,,,,,5.0,15.0,W,,,,,2022-03-10,,,Approved,,54.643545,9.319456,200062.0
23,,,WP Himmelreich,SEN,Enercon,E-115 EP 3,10244887,SEN Himmelreich (201223),ANNJO,2020-05-26,Windpark Himmelreich GmbH & Co. KG,Jan Heckens,WEA 1 von 3,1160006,WEA 1 Nordwest,92.0,116.0,Ja,Ja,Ja,,,6.0,16.0,"W, SW",,,,,2023-03-03,,,Approved,file:///A:\___Projekte\10244887_2020 E_115 EP 3 SEN WP Himmelreich WES Ibs (Jan Heckens) ,54.009047,9.089936,201223.0
24,,,WP Himmelreich,SEN,Enercon,E-115 EP 3,10244887,SEN Himmelreich (201223),ANNJO,2020-05-26,Windpark Himmelreich GmbH & Co. KG,Jan Heckens,WEA 2 von 3,1160007,WEA 2 Nordost,92.0,116.0,Unbekannt,Unbekannt,Unbekannt,,,6.0,16.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10244887_2020 E_115 EP 3 SEN WP Himmelreich WES Ibs (Jan Heckens) ,54.008342,9.095275,201223.0
25,,,WP Himmelreich,SEN,Enercon,E-115 EP 3,10244887,SEN Himmelreich (201223),ANNJO,2020-05-26,Windpark Himmelreich GmbH & Co. KG,Jan Heckens,WEA 3 von 3,1160008,WEA 3 Süd,92.0,116.0,Ja,Unbekannt,Unbekannt,,,6.0,16.0,W,,,,,2022-01-19,,,Approved,file:///A:\___Projekte\10244887_2020 E_115 EP 3 SEN WP Himmelreich WES Ibs (Jan Heckens) ,54.00597,9.09129,201223.0
26,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),PHISCH,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 1 von 3,3201101,WEA14,115.0,113.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,2021-04-22,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.451269,10.156069,200775.0
27,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),PHISCH,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 2 von 3,3201100,WEA15,127.5,113.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,2021-04-22,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.448022,10.159886,200775.0
28,,,WP Uetze,SEN,Siemens Gamesa,SWT 113,10250470,SEN SWT 113 WP Uetze (200775),PHISCH,2020-07-01,REON Aktiengesellschaft,Florian Massante,WEA 3 von 3,3201102,WEA16,115.0,113.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,"W, SW",,,,,,,,Approved,file:///A:\___Projekte\10250470_2020 SWT 113 SEN WP Uetze REON (Florian Massante) ,52.451425,10.163094,200775.0
29,,,Wilhelmshaven Westerhausen II,SEN,Vestas,V112,10253216,SEN V112 Wilhelmshaven V209248 (205848),PHISCH,2019-11-04,Vestas Deutschland GmbH,Helge Schnehle,WEA 1 von 1,V209248,,94.0,112.0,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,2021-04-23,2022-11-02,2022-03-16,Approved,file:///A:\___Projekte\10253216_2020 V112 SEN Wilhelmshaven Westerhausen II Vestas D (Helge Schnehle) ,53.60675833,8.041122222,205848.0
