,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link),day,wind_speed,wind_speed_100m,wind_direction,WD,green WS
167,,,WP Hägen,SEN,Vestas,V150,10379103,SEN V150 BWP Hägen (230354),ULFKOC,2022-09-09 00:00:00,Bürgerwindpark Hägen GmbH & Co. KG,Jan Heckens,WEA 1 von 1,,WEA Hägen,125.0,150.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10379103_2022 V150 SEN WP Hägen WES Ibs (Jan Heckens) ,54.257071,9.135771,230354.0,2023-07-04,6.28,9.42,226.0618887959172,SW,0.5
168,,,WP Norstedt,SEN,Enercon,E-138,10380285,SEN E-138 Norstedt (238389),ULMR,2022-09-27 00:00:00,Bürgerwindpark Norstedt-Ohlandt GmbH & Co. KG,Thurid Kuhk,WEA 1 von 1,E1380839,WEA 1,110.13,138.25,Unbekannt,Ja,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380285_2022 E_138 SEN WP Norstedt BWP Norstedt Ohlandt (Thurid Kuhk) ,54.579206,9.140685,238389.0,2023-07-04,4.76,7.14,233.50185319731307,SW,0.0
169,,,WP Swatte Poele,SIM,Enercon,E126,10380615,SIM E-126 Swatte P. (237888),PHISCH,2022-09-13 00:00:00,Windpark Swatte Poele Invest GmbH & Co. KG,Marcel Homann,WEA 1 von 5,E1250240,WEA 7,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380615_2022 E126 SIM WP Swatte Poele Heliotec (Marcel Homann) ,52.558532,7.618676,237888.0,2023-07-04,4.44,6.66,218.99482395186888,SW,0.0
170,,,WP Swatte Poele,SIM,Enercon,E126,10380615,SIM E-126 Swatte P. (237888),PHISCH,2022-09-13 00:00:00,Windpark Swatte Poele Invest GmbH & Co. KG,Marcel Homann,WEA 2 von 5,E1250237,WEA 8,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380615_2022 E126 SIM WP Swatte Poele Heliotec (Marcel Homann) ,52.554839,7.616964,237888.0,2023-07-04,4.44,6.66,218.99482395186888,SW,0.0
171,,,WP Swatte Poele,SIM,Enercon,E126,10380615,SIM E-126 Swatte P. (237888),PHISCH,2022-09-13 00:00:00,Windpark Swatte Poele Invest GmbH & Co. KG,Marcel Homann,WEA 3 von 5,E1250238,WEA 9,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380615_2022 E126 SIM WP Swatte Poele Heliotec (Marcel Homann) ,52.552239,7.621456,237888.0,2023-07-04,4.44,6.66,218.99482395186888,SW,0.0
172,,,WP Swatte Poele,SIM,Enercon,E126,10380615,SIM E-126 Swatte P. (237888),PHISCH,2022-09-13 00:00:00,Windpark Swatte Poele Invest GmbH & Co. KG,Marcel Homann,WEA 4 von 5,E1250239,WEA 10,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380615_2022 E126 SIM WP Swatte Poele Heliotec (Marcel Homann) ,52.548527,7.619307,237888.0,2023-07-04,4.44,6.66,218.99482395186888,SW,0.0
173,,,WP Swatte Poele,SIM,Enercon,E126,10380615,SIM E-126 Swatte P. (237888),PHISCH,2022-09-13 00:00:00,Windpark Swatte Poele Invest GmbH & Co. KG,Marcel Homann,WEA 5 von 5,E1250241,WEA 11,135.0,127.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10380615_2022 E126 SIM WP Swatte Poele Heliotec (Marcel Homann) ,52.544969,7.617142,237888.0,2023-07-04,4.44,6.66,218.99482395186888,SW,0.0
174,,,Dahme-Wahlsdorf,SEM,GE,GE 2.5-120,10381946,SEN GE Dahme-Wahls (238452),FELPLA,2022-09-27 00:00:00,GE Wind Energy GmbH,Björn Schierenbeck,WEA 1 von 1,5648430,15-28140157 (E32182),139.0,120.0,Unbekannt,Ja,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10381946_2022  SEM Dahme_Wahlsdorf GE Wind Energy (Björn Schierenbeck) ,51.969841,13.345265,238452.0,2023-07-04,4.12,6.18,226.85732940922443,SW,0.0
175,,,Österwurth,SEN,Enercon,E115,10381950,SEN Oesterwurth E115 (238765),ANNJO,2022-09-29 00:00:00,WKA Scheld GmbH & Co. KG,Jan Heckens,WEA 1 von 1,1160001,WKA Scheld,92.0,115.7,Unbekannt,Unbekannt,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10381950_2022 E115 SEN Österwurth WES Ibs (Jan Heckens) ,54.223336,8.944554,238765.0,2023-07-04,5.08,7.62,226.55967982261507,SW,0.5
176,,,Corme,SET,SGRE,G114,10382318,SEN SGRE Corme ES (235875),IACRUZ,2022-09-22 00:00:00,"EDP Renovables España, S.L.U.",Begona Arechaga,WEA 1 von 2,100187683,WTG 02,93.0,114.0,Ja,Ja,Nein,,,5.0,15.0,E,,,,,2023-03-01 00:00:00,,,Approved,file:///C:\_Projects\10382318_2022 G114 SET Corme EDP (Begona Arechaga) ,43.277258,-8.975897,235875.0,2023-07-04,3.16,4.73,294.2536498726926,NW,0.0
177,,,Corme,SET,SGRE,G114,10382318,SEN SGRE Corme ES (235875),IACRUZ,2022-09-22 00:00:00,"EDP Renovables España, S.L.U.",Begona Arechaga,WEA 2 von 2,100187682,WTG 03,93.0,114.0,Ja,Ja,Nein,,,5.0,15.0,E,,,,,2023-02-28 00:00:00,,,Approved,file:///C:\_Projects\10382318_2022 G114 SET Corme EDP (Begona Arechaga) ,43.274397,-8.974533,235875.0,2023-07-04,3.16,4.73,294.2536498726926,NW,0.0
178,,,Wohlsdorf,SEN,Vestas,V150,10382385,SEN Wohlsdorf (239150),JOPRZ,2022-10-06 00:00:00,Windpark Wohlsdorf GmbH & Co. KG,Paul Meyer REON,WEA 1 von 2,242977,WEA N05,169.0,150.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-04-19 00:00:00,,,Approved,file:///A:\___Projekte\10382385_2022 V150 SEN Wohlsdorf Windpark Wohlsdorf GmbH und Co KG (Paul Meyer REON) ,53.110268,9.460299,239150.0,2023-07-04,4.33,6.5,238.0562650179698,SW,0.0
179,,,Wohlsdorf,SEN,Vestas,V150,10382385,SEN Wohlsdorf (239150),JOPRZ,2022-10-06 00:00:00,Windpark Wohlsdorf GmbH & Co. KG,Paul Meyer REON,WEA 2 von 2,242979,WEA N07,169.0,150.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-04-19 00:00:00,,,Approved,file:///A:\___Projekte\10382385_2022 V150 SEN Wohlsdorf Windpark Wohlsdorf GmbH und Co KG (Paul Meyer REON) ,53.106344,9.459047,239150.0,2023-07-04,4.33,6.5,238.0562650179698,SW,0.0
180,,,Hemme,SEN,Enercon,E82,10382953,SEN E-82 Hemme (238825),ANNJO,,ENERCON GmbH,Enercon,WEA 1 von 1,825702,"E-82 2,3MW",108.0,82.0,Nein,Ja,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10382953_2022 E82 SEN Hemme Sven Bigalke (Enercon) ,54.254603,9.0141,238825.0,2023-07-04,6.37,9.55,224.33853868008737,SW,0.5
181,,,Schoenfeld,SEN,Vestas,V136,10384188,SEN V136 Schönfeld (238874),ANNJO,,ENERTRAG SE,Jonas Armbroester,WEA 1 von 1,243497,SD Z3,132.0,136.0,Ja,Ja,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10384188_2022 V136 SEN Schoenfeld Enertrag SE (Jonas Armbroester) ,53.269865,14.271532,238874.0,2023-07-04,4.85,7.27,214.69038515583927,SW,0.0
182,,,Heckelberg,SEN,Senvion,3.6M140,10384523,SEN Heckelberg Notus (239625),ANNJO,,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 1 von 1,400045,WEA03,132.0,140.0,Nein,Ja,Ja,1740kW,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10384523_2022 36M140 SEN Heckelberg Notus (Paula Kock) ,52.745587,13.822466,239625.0,2023-07-04,4.07,6.11,223.103042674651,SW,0.0
183,,,Dammfleth,SEN,Vestas,V136,10385875,SEN 2V136 Dammfleth (228853),IACRUZ,,Windpark Rothenmeer GmbH & Co. KG,Federico_Alcalde_Burella,WEA 1 von 2,V244067,WEA 79/1,82.0,136.0,Nein,Ja,Ja,,,5.0,15.0,E,,,Stefan Thebing (Nordex) & Daniel Heegardt (Enercon),,,,,Approved,file:///A:\___Projekte\10385875_2022 V136 SEN WP Dammfleth Eurowind (Federico Alcalde Burella) ,53.887615,9.359029,228853.0,2023-07-04,4.67,7.01,226.94219956940262,SW,0.0
184,,,Dammfleth,SEN,Vestas,V136,10385875,SEN 2V136 Dammfleth (228853),IACRUZ,,Windpark Rothenmeer GmbH & Co. KG,Federico_Alcalde_Burella,WEA 2 von 2,V244068,WEA 69/1,82.0,136.0,Nein,Ja,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10385875_2022 V136 SEN WP Dammfleth Eurowind (Federico Alcalde Burella) ,53.88512,9.36036,228853.0,2023-07-04,4.67,7.01,226.94219956940262,SW,0.0
185,,,Tensbüttel,SEN,Vestas,V150,10385877,SEN V150 Tensb. (240478),ANNJO,,Looft-Schmidt GmbH & Co. 3. Betriebs KG,Thurid_Kuhk,WEA 1 von 2,,Tensbüttel WEA1,105.0,150.0,Nein,Nein,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10385877_2022 V150 SEN Tensbuettel NTTB (Thurid Kuhk) ,54.105669,9.261015,240478.0,2023-07-04,4.63,6.95,232.74553093958562,SW,0.0
186,,,Tensbüttel,SEN,Vestas,V150,10385877,SEN V150 Tensb. (240478),ANNJO,,Looft-Schmidt GmbH & Co. 3. Betriebs KG,Thurid_Kuhk,WEA 2 von 2,,Tensbüttel WEA2,105.0,150.0,Nein,Nein,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10385877_2022 V150 SEN Tensbuettel NTTB (Thurid Kuhk) ,54.101603,9.262626,240478.0,2023-07-04,4.63,6.95,232.74553093958562,SW,0.0
187,,,Lohe,SEN,Vestas,V150,10385878,SEN V150 WP Lohe (240477),ANNJO,,Looft-Schmidt GmbH & Co. 4.Betriebs KG,Thurid_Kuhk,WEA 1 von 1,,WEA Lohe,125.0,150.0,Nein,Nein,Ja,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10385877_2022 V150 SEN Tensbuettel NTTB (Thurid Kuhk) ,54.169691,9.049206,240477.0,2023-07-04,4.93,7.4,226.76935132474057,SW,0.0
188,,,Wunderberg,SEN,Vestas,V126,10387490,SEN V126 Wunderberg (240502),PHISCH,,wpd windmanager GmbH & Co. KG,Margot_Petersen_Jaenicke,WEA 1 von 1,,WEA 2,137.0,126.0,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10385878_2022 V150 SEN Lohe NTTB (Thurid Kuhk) ,52.927908,8.514433,240502.0,2023-07-04,5.13,7.69,226.92472157819248,SW,0.5
189,,,Wieringermeer/NL,SET,Vensys,VS115,10388155,SET VS115 Wieringerm (239133),PHISCH,,VENSYS Energy AG,Dennis_Vollberg,WEA 1 von 1,WEA I08 ID 260,VS2_001,92.5,114.95,Ja,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2022-12-21 00:00:00,2023-01-30 00:00:00,,Approved,file:///A:\___Projekte\10388155_2022 VS115 SET Wieringermeer Vensys Energy AG (Dennis Vollberg) ,52.832994,5.052114,239133.0,2023-07-04,7.4,11.09,239.97873168179748,SW,0.5
190,,,Blauw,SET,Vestas,V162,10388737,SET V162 Blauw (240702),PHISCH,,Vestas Benelux B.V.,NCN,WEA 1 von 3,241146,VT01,136.0,162.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,,,2023-02-10 00:00:00,,,Approved,file:///A:\___Projekte\10388737_2022 V162 SET Blauw NL Vestas DK (NCN) ,52.5535,5.589672,240702.0,2023-07-04,8.14,12.21,236.44949966369472,SW,0.5
191,,,Blauw,SET,Vestas,V162,10388737,SET V162 Blauw (240702),PHISCH,,Vestas Benelux B.V.,NCN,WEA 2 von 3,241152,VT07,136.0,162.0,Unbekannt,Ja,Unbekannt,,,5.0,15.0,E,,,,,2022-12-17 00:00:00,2023-01-28 00:00:00,2/10/2023 & 3/14/2023 & 4/25/2023,Approved,file:///A:\___Projekte\10388737_2022 V162 SET Blauw NL Vestas DK (NCN) ,52.576044,5.582722,240702.0,2023-07-04,8.14,12.21,236.44949966369472,SW,0.5
192,,,Blauw,SET,Vestas,V162,10388737,SET V162 Blauw (240702),PHISCH,,Vestas Benelux B.V.,NCN,WEA 3 von 3,241163,RD08,136.0,162.0,Unbekannt ,Ja ,Unbekannt ,,,5.0,15.0,E,,,,,2022-12-17 00:00:00,2023-01-28 00:00:00,2023-03-14 00:00:00,Approved,file:///A:\___Projekte\10388737_2022 V162 SET Blauw NL Vestas DK (NCN) ,52.580725,5.61115,240702.0,2023-07-04,8.14,12.21,236.44949966369472,SW,0.5
193,,,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan_Yetiskin,WEA 1 von 3,GE55216197,WEA01,150.0,158.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.916758,10.734442,238291.0,2023-07-04,2.72,4.09,202.15122098742802,SW,0.0
194,,,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan_Yetiskin,WEA 2 von 3,GE55216198,WEA03,150.0,158.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.914864,10.752692,238291.0,2023-07-04,2.72,4.09,202.15122098742802,SW,0.0
195,,,Könau (Wrestedt),SEN,GE,5.5-158,10390135,SEN Wrestedt 4 initia (238291),FELPLA,,JWE Bürgerwindpark Könau-Ostedt-Suhlendorf GmbH & Co. KG,Serkan_Yetiskin,WEA 3 von 3,GE55216201,WEA05,150.0,158.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,52.91055,10.756742,238291.0,2023-07-04,2.72,4.09,202.15122098742802,SW,0.0
196,,,Reußenköge,SEN,Vestas,V112,10390714,SEN V112 Reußenk. (241926),RICFRE,,Vestas Deutschland GmbH,Jannika_Binder,WEA 1 von 1,210159,,94.0,112.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-03-24 00:00:00,,,Approved,file:///A:\___Projekte\10390135_2022 GE 55 SEN WP Könau 4initia (Serkan Yetiskin) ,54.643593,8.853473,241926.0,2023-07-04,5.85,8.78,237.23090704770496,SW,0.5
197,,,Reinbüttel,SIP SWP,German Sustainables,GS-1000 NT,10392418,SIP SWP GS-1000 NT (242119),JORDED,,German Sustainables Gesellschaft für erneuerbare Energiesysteme m.b.H,Hans_Jürgen_Brandt,WEA 1 von 1,,WEA N01,,,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,15.0,E,,,,,,,,Approved,,54.187951,8.923237,242119.0,2023-07-04,5.08,7.62,226.55967982261507,SW,0.5
198,,,Jettenbach,SEN,Enercon,E-138 EP3 E1,10392419,SEN E-138 Jettenbach (242310),IACRUZ,,ENERCON GmbH,Mirko_Martens,WEA 1 von 1,1380357,E138 Jettenbach,131.0,138.0,Unbekannt ,Unbekannt ,Unbekannt ,,,5.0,15.0,E,,,,,2023-03-22 00:00:00,,,Approved,,49.519386,7.552497,242310.0,2023-07-04,4.25,6.37,238.24022879921714,SW,0.0
199,,,Hämelhausen,SEN,Vestas,V126,10392511,SEN Hämelhausen V126 (235267),JOPRZ,,Vestas Deutschland GmbH,Raphael_Springmann,WEA 1 von 2,V208849,WEA02,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,2023-01-16 00:00:00,,,Approved,file:///A:\___Projekte\10392419_2022 E138 EP1 SEN Jettenbach Mirko Martens ENERCON (Mirko Martens) ,52.7935,9.27775,235267.0,2023-07-04,5.21,7.81,233.17253579271014,SW,0.5
200,,,Hämelhausen,SEN,Vestas,V126,10392511,SEN Hämelhausen V126 (235267),JOPRZ,,Vestas Deutschland GmbH,Raphael_Springmann,WEA 2 von 2,V208850,WEA03,137.0,126.0,Unbekannt,Unbekannt,Unbekannt,,,5.0,15.0,E,,,,,,,,Approved,,52.7978,9.28632,235267.0,2023-07-04,5.21,7.81,233.17253579271014,SW,0.5
201,,,WP Silberpatweg Aachen,SEN,GE,GE 2.75-120,10392989,SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,IACRUZ,2023-01-11 00:00:00,GE Wind Energy ,Björn Schierenbeck,WEA 1 von 2,GE27171217,WEA16,139.0,120.0,Ja ,Unbekannt ,Unbekannt ,,,0.0,100.0,SW,,,,,2023-01-08 00:00:00,,,Approved,file:///A:\___Projekte\10392511_2022 V126 SEN Haemelhausen Vestas D (Raphael Springmann) ,50.822714,6.028481,242541.0,2023-07-04,5.13,7.69,226.25642942652928,SW,1.0
202,,,WP Silberpatweg Aachen,SEN,GE,GE 2.75-120,10392989,SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,IACRUZ,2023-01-11 00:00:00,GE Wind Energy ,Björn Schierenbeck,WEA 2 von 2,GE27171218,WEA15,139.0,120.0,Ja ,Unbekannt,Unbekannt,,,0.0,100.0,SW,,,,,2023-01-07 00:00:00,,,Approved,file:///A:\___Projekte\10392511_2022 V126 SEN Haemelhausen Vestas D (Raphael Springmann) ,50.825267,6.025578,242541.0,2023-07-04,5.13,7.69,226.25642942652928,SW,1.0
204,,,WP Steife Brise,SEN,Nordex,N117,10424395,SEN WP Steife Brise Ing Büro Siefert (Eugen Siefert)\,RicFre,2023-01-19 00:00:00,Ing Büro Siefert ,Eugen Siefert,WEA 1 von 1,,WEA 05,120.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10424395_2023 N117 SEN WP Steife Brise Ing Büro Siefert (Eugen Siefert) ,54.533323,9.236464,243575.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
205,,,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13 00:00:00,iTerra Wind GmbH ,Jens Sieger,WEA 1 von 4,,WEA 01 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.055234,9.325254,243369.0,2023-07-04,4.63,6.95,232.74553093958562,SW,1.0
206,,,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13 00:00:00,iTerra Wind GmbH ,Jens Sieger,WEA 2 von 4,,WEA 02 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05504,9.330431,243369.0,2023-07-04,4.63,6.95,232.74553093958562,SW,1.0
207,,,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13 00:00:00,iTerra Wind GmbH ,Jens Sieger,WEA 3 von 4,,WEA 03,84.0,132.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.056457,9.335056,243369.0,2023-07-04,4.63,6.95,232.74553093958562,SW,1.0
208,,,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13 00:00:00,iTerra Wind GmbH ,Jens Sieger,WEA 4 von 4,,WEA 04,84.0,132.0,Unbekannt,Unbekannt,Ja,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05637,9.340127,243369.0,2023-07-04,4.63,6.95,232.74553093958562,SW,1.0
209,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RicFre,2023-01-20 00:00:00,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 1 von 4,,WEA 1,91.0,117.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.462585,9.144559,243019.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
210,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RicFre,2023-01-20 00:00:00,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 2 von 4,,WEA 4,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.460563,9.143211,243019.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
211,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RicFre,2023-01-20 00:00:00,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 3 von 4,,WEA 5,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.459411,9.148074,243019.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
212,,,WP Rantrum,SEN,Nordex,N117,10425091,SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen)\,RicFre,2023-01-20 00:00:00,BGZ Fondsverwaltung GmbH ,Andre Hansen,WEA 4 von 4,,WEA 6,91.0,117.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10425091_2023 N117 SEN WP Rantrum BGZ Fondsverwaltung GmbH (Andre Hansen) ,54.459036,9.153611,243019.0,2023-07-04,4.76,7.14,233.50185319731307,SW,1.0
216,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PhiSch,2023-01-27 00:00:00,Enertrag ,Florian Sommer,WEA 1 von 4,,S3 Siebenhausen 3,100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.700663,12.243606,244088.0,2023-07-04,3.09,4.63,241.83411600752012,SW,1.0
217,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PhiSch,2023-01-27 00:00:00,Enertrag ,Florian Sommer,WEA 2 von 4,,S4 Siebenhausen 4 (WO Wolfen),100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.69775,12.244067,244088.0,2023-07-04,3.09,4.63,241.83411600752012,SW,1.0
218,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PhiSch,2023-01-27 00:00:00,Enertrag ,Florian Sommer,WEA 3 von 4,,S5 Siebenhausen 5,100.0,80.0,Unbekannt ,Unbekannt ,Unbekannt ,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.702299,12.247563,244088.0,2023-07-04,3.09,4.63,241.83411600752012,SW,1.0
219,,,WP Bobbau,SIM,DeWind,D8,10426163,SIM WP Bobbau Enertrag (Florian Sommer)\,PhiSch,2023-01-27 00:00:00,Enertrag ,Florian Sommer,WEA 4 von 4,,S6 Siebenhausen 6,100.0,80.0,Unbekannt,Unbekannt,Unbekannt,,,0.0,100.0,all,,,,,,,,Approved,file:///A:\___Projekte\10426163_2023 D8 SIM WP Bobbau Enertrag (Florian Sommer) ,51.698215,12.249349,244088.0,2023-07-04,3.09,4.63,241.83411600752012,SW,1.0
220,,,Schaltanlage Jänschwalde,SIP SWP,Spie,UW,10426427,SIP Jänschwalde SPIE SAG GmbH (Roy Fichtner)\,Jorded,01.02.2023,Spie SAE GmbH,Roy Fichtner, ,,,,,,,,,,0.0,100.0,all,,,,,,,,Approved,\\bibo.sesamstrasse.wt\Acoustics\___Projekte\10426427_2023 Schaltanlage 380 kV SIP Jänschwalde SPIE SAG GmbH (Roy Fichtner),51.837398,14.465636,241576.0,2023-07-04,3.39,5.08,223.42777128950607,SW,1.0
221,,,WP Falkenwalde,SEN,GE,GE 4.5 MW,10426438,SEN WP Falkenwalde GE Renewable Energy (Bjoern Schierenbeck)\,Annjo,2023-01-30 00:00:00,GE Renewable Energy ,Björn Schierenbeck,WEA 1 von 2,55209915,RH E7,161.0,158.0,Unbekannt,Ja,Unbekannt,,,0.0,100.0,all,,,,,2022-11-17 00:00:00,2023-03-17 00:00:00,,Approved,file:///A:\___Projekte\10426438_2023 GE 45 MW SEN WP Falkenwalde GE Renewable Energy (Björn Schierenbeck) ,53.2831,14.036204,241686.0,2023-07-04,4.37,6.56,223.79720449250652,SW,1.0
